id,key,u,v
31809,938565514|938565515|208068033,938565514,938565515
31810,441122725|2855412968|37630044,441122725,2855412968
31811,441122725|2084686815|52107303,441122725,2084686815
31812,2855412968|844749588|37630044,2855412968,844749588
31813,2855412968|2855412960|281568110,2855412968,2855412960
31814,"2084686815|2855412960|[48760217, 52107303]",2084686815,2855412960
31815,2084686815|1620156519|148960939,2084686815,1620156519
31816,441122737|618794857|37630044,441122737,618794857
31817,441122737|844749588|37630044,441122737,844749588
31818,441122737|2859837139|48760348,441122737,2859837139
31819,618794857|618794891|48760355,618794857,618794891
31820,844749588|844749575|70850352,844749588,844749575
31821,2859837139|844750140|48760348,2859837139,844750140
31822,2859837139|2859837140|282038677,2859837139,2859837140
31823,441138473|664035957|42132533,441138473,664035957
31824,441138473|1228031114|37631995,441138473,1228031114
31825,664035947|664035957|37387085,664035947,664035957
31826,664035957|523952567|42132533,664035957,523952567
31827,3035733466|11345616359|326793597,3035733466,11345616359
31828,1833689766|1833689764|221080835,1833689766,1833689764
31829,441882700|2670302198|37683533,441882700,2670302198
31830,441882700|1833689792|37683535,441882700,1833689792
31831,2670302751|2670302749|261415331,2670302751,2670302749
31832,2670302751|441882693|1432135307,2670302751,441882693
31833,441882693|2670302198|37683533,441882693,2670302198
31834,2670302198|2670302202|1190301302,2670302198,2670302202
31835,"568451878|466650768|[41147920, 39185065]",568451878,466650768
31836,568451878|473234507|1333212128,568451878,473234507
31837,2283824044|442309475|8349943,2283824044,442309475
31838,"442638062|442638066|[37738005, 107476743]",442638062,442638066
31839,10000627798|1965845815|853630877,10000627798,1965845815
31840,442665174|564872810|44443539,442665174,564872810
31841,442665174|564872813|231536756,442665174,564872813
31842,564872813|564872812|44443537,564872813,564872812
31843,564872813|2399054478|231536756,564872813,2399054478
31844,442914408|5702536942|37759538,442914408,5702536942
31845,442914408|2923442247|846902424,442914408,2923442247
31846,443141026|572454070|37777842,443141026,572454070
31847,572454070|3110654705|37777842,572454070,3110654705
31848,572454070|572458802|45133507,572454070,572458802
31849,572454070|1183607160|196845210,572454070,1183607160
31850,443141027|3110654705|37777842,443141027,3110654705
31851,443141027|443141028|37905140,443141027,443141028
31852,443141027|1183607160|102490757,443141027,1183607160
31853,3110654705|3110077759|306216161,3110654705,3110077759
31854,443141028|1621421259|37905140,443141028,1621421259
31855,"443141028|3110077759|[306164652, 306164654]",443141028,3110077759
31856,1621421259|2697518075|149119417,1621421259,2697518075
31857,1621421259|444859042|149119417,1621421259,444859042
31858,3110077759|3110077751|306164652,3110077759,3110077751
31859,443141032|443141040|45132720,443141032,443141040
31860,443141032|1325304239|25825972,443141032,1325304239
31861,"2697518075|1325304239|[117684834, 264076687]",2697518075,1325304239
31862,443141040|443141039|37777846,443141040,443141039
31863,443141040|2697513810|45132720,443141040,2697513810
31864,6636914751|6636914735|706325712,6636914751,6636914735
31865,6636914751|443141039|37777845,6636914751,443141039
31866,443141039|6636914735|37777846,443141039,6636914735
31867,2697513810|443141050|45132720,2697513810,443141050
31868,2697513810|2697513819|264076111,2697513810,2697513819
31869,443141050|572444245|45132720,443141050,572444245
31870,443141050|1325304302|37777847,443141050,1325304302
31871,572444245|3195667983|37777850,572444245,3195667983
31872,572444245|572449962|37777850,572444245,572449962
31873,1325304302|3007005932|37777847,1325304302,3007005932
31874,470896798|444859060|198934677,470896798,444859060
31875,470896798|470896861|39297517,470896798,470896861
31876,294905110|282342920|26849448,294905110,282342920
31877,443211919|858378258|72492928,443211919,858378258
31878,443211919|858378265|72492929,443211919,858378265
31879,858378258|860589550|72454416,858378258,860589550
31880,858378258|860607346|72493611,858378258,860607346
31881,858378265|860607346|72231159,858378265,860607346
31882,"858378265|443211926|[894704456, 72492932, 894704455]",858378265,443211926
31883,"443211926|8316492078|[111521729, 1281185084, 894704461]",443211926,8316492078
31884,"443366493|546289356|[323047865, 37798638]",443366493,546289356
31885,546289356|443366495|323047865,546289356,443366495
31886,546289356|546289312|43376570,546289356,546289312
31887,443366495|2279151465|218688100,443366495,2279151465
31888,443366495|546289411|323047865,443366495,546289411
31889,546289411|2279145478|43376573,546289411,2279145478
31890,3195667779|3195667775|313569636,3195667779,3195667775
31891,443929641|443929737|37852262,443929641,443929737
31892,443929746|443929743|37852263,443929746,443929743
31893,443929737|443929739|37852261,443929737,443929739
31894,443929689|443929697|37852247,443929689,443929697
31895,443929697|443929699|37852247,443929697,443929699
31896,443929697|443929709|37852248,443929697,443929709
31897,443929699|443929700|38941455,443929699,443929700
31898,443929720|443929751|37852266,443929720,443929751
31899,443929720|443929721|307925091,443929720,443929721
31900,443929751|443929739|37852267,443929751,443929739
31901,443929751|443929753|37852266,443929751,443929753
31902,443929721|443929741|37852261,443929721,443929741
31903,443929721|2439333638|37852265,443929721,2439333638
31904,443929741|443929739|37852261,443929741,443929739
31905,443929741|443929743|37852263,443929741,443929743
31906,443929743|443929744|38941456,443929743,443929744
31907,565447473|2590160731|44503552,565447473,2590160731
31908,565447473|565447468|37852618,565447473,565447468
31909,565447473|565447467|44503552,565447473,565447467
31910,"6254946499|3301398948|[23131171, 323341348]",6254946499,3301398948
31911,6254946499|2836278208|667984003,6254946499,2836278208
31912,444342017|444342232|37866909,444342017,444342232
31913,444342017|444342315|49971362,444342017,444342315
31914,444342017|444449449|49971362,444342017,444449449
31915,444342315|2847910296|37866908,444342315,2847910296
31916,444342315|444342254|49971362,444342315,444342254
31917,444342254|444449425|37873886,444342254,444449425
31918,444342254|444342326|39497764,444342254,444342326
